idolId,accounts,onlyAccounts,tweets
1,395,182,962
2,277,127,698
3,330,173,966
4,71,38,159
5,276,145,924
6,97,38,196
7,53,18,139
8,397,223,1256
9,70,33,174
10,21,6,21
11,491,259,1554
12,702,452,2226
13,398,196,1143
14,35,8,95
15,337,185,695
16,19,3,33
17,116,56,226
18,67,25,131
19,225,105,659
20,113,64,286
21,22,4,30
22,137,58,487
23,124,54,222
24,48,14,89
25,334,152,940
26,102,51,194
27,1136,781,2894
28,535,313,1196
29,26,7,50
30,39,11,74
31,40,11,87
32,476,305,1124
33,251,135,659
34,122,67,249
35,493,355,950
36,39,17,97
37,35,11,128
38,33,6,43
39,24,5,36
40,31,8,64
41,185,84,552
45,21,5,33
47,20,4,25
48,54,22,122
49,34,10,47
50,639,448,1693
51,24,8,50
52,33,12,78
53,21,6,34
54,265,118,734
55,104,53,288
56,29,9,47
57,31,4,64
58,67,33,109
59,811,547,2397
60,25,6,34
61,25,6,30
62,54,23,155
63,298,128,797
64,220,111,581
65,35,6,71
66,277,135,633
67,352,166,1042
68,114,73,224
69,78,31,195
70,14,3,15
71,28,14,39
72,39,13,94
73,221,108,616
74,961,648,2838
75,214,120,744
76,198,97,585
77,83,48,164
78,392,214,923
79,88,37,193
80,177,68,450
81,237,127,604
82,42,15,93
83,44,26,115
84,488,247,1759
85,454,275,1050
86,34,15,55
87,47,12,128
88,456,230,1178
89,921,590,2934
90,128,68,323
91,106,50,261
92,181,108,363
93,32,10,38
94,131,50,315
95,13,1,31
96,88,50,216
97,589,355,1548
98,381,221,862
99,22,5,41
100,24,11,61
101,439,232,1270
102,17,1,34
103,21,6,87
104,72,28,171
105,308,172,934
110,15,5,27
111,91,53,233
112,40,13,53
113,39,14,90
114,393,274,751
115,26,7,48
116,34,12,43
117,18,7,27
118,86,31,167
119,71,30,142
120,266,129,566
121,125,68,291
122,63,29,126
123,722,451,2141
124,83,39,237
125,73,32,214
126,572,336,1368
127,386,227,1047
128,118,43,250
129,189,94,379
130,107,54,241
131,504,298,1065
132,294,113,866
133,274,125,807
134,310,131,1111
135,682,386,2385
136,74,39,263
137,241,133,775
138,222,109,536
139,39,19,71
140,33,16,49
141,14,3,23
142,40,9,95
143,197,106,485
144,19,4,26
145,20,5,49
146,331,183,742
147,143,65,317
149,184,94,446
150,70,24,188
151,38,12,81
153,175,122,620
154,114,40,283
155,26,9,48
156,53,18,79
157,484,294,1124
158,111,44,232
159,296,158,710
160,12,7,35
161,201,104,559
162,93,45,158
163,420,195,907
164,295,145,815
165,28,7,59
166,13,4,26
167,56,28,134
168,569,328,1952
169,154,84,349
170,49,25,120
171,207,90,677
172,425,297,1001
173,355,163,1288
174,165,87,608
175,24,9,45
176,26,5,84
181,195,96,425
184,263,143,478
185,23,4,41
186,199,86,608
187,24,12,35
188,31,8,68
189,91,34,192
190,17,0,24
191,61,16,98
192,94,45,182
193,132,65,256
194,38,14,100
195,36,9,88
196,52,17,104
197,177,81,535
198,745,485,1534
200,67,32,141
204,401,152,1048
205,290,115,541
206,601,336,1547
1001,370,108,1127
1002,307,106,950
1003,454,151,1042
1004,352,137,574
